CODIGO;COMP_CURRICULAR;PERIODO;OPT;CREDITOS
DPAA-2.086;CáLCULO DIFERENCIAL E INTEGRAL I(81H);1;NãO;81
10321.4;GEOMETRIA ANALíTICA(54H);1;NãO;54
DPAA-4.304;ALGORITMOS E TéCNICAS DE PROGRAMAçãO(54H);1;NãO;54
DPAA-4.309;INTRODUçãO à ENGENHARIA ELéTRICA(27H);1;NãO;27
DPAA-1.086;LíNGUA PORTUGUESA(54H);1;NãO;54
DPAA-2.274;FíSICA: MECâNICA(54H);1;NãO;54
DPAA-2.275;LABORATóRIO DE MECâNICA(27H);1;NãO;27
10376.0S;ÁLGEBRA LINEAR(54H);2;NãO;54
DPAA-2.116;QUíMICA GERAL(54H);2;NãO;54
10329.0S;CáLCULO DIFERENCIAL E INTEGRAL II(81H);2;NãO;81
DPAA-4.378;MATERIAS ELéTRICOS(27H);2;NãO;27
DPAA-4.379;FUNçõES DE VARIáVEIS COMPLEXAS(27H);2;NãO;27
DPAA-2.278;FíSICA: ELETROMAGNETISMO(54H);2;NãO;54
DPAA-2.279;LABORATóRIO DE ELETROMAGNETISMO(27H);2;NãO;27
DPAA-2.191;METODOLOGIA CIENTíFICA(27H);2;NãO;27
11826.0S;CIRCUITOS ELéTRICOS I(81H);3;NãO;81
11816.0S;DESENHO TéCNICO ASSISTIDO POR COMPUTADOR(54H);3;NãO;54
DPAA-2.117;EQUAçõES DIFERENCIAIS(54H);3;NãO;54
DPAA-2.094;CáLCULO DIFERENCIAL E INTEGRAL III(54H);3;NãO;54
11844.0S;INTRODUçãO à ECONOMIA(27H);3;NãO;27
DPAA-2.276;FíSICA: FLUIDOS, ONDAS E CALOR(54H);3;NãO;54
DPAA-2.277;LABORATóRIO DE FLUIDOS, ONDAS E CALOR(27H);3;NãO;27
DPAA-4.333;ELETRôNICA DIGITAL I(54H);4;NãO;54
DPAA-2.100;CáLCULO NUMéRICO(54H);4;NãO;54
11831.0.54S;ELETRôNICA ANALóGICA(81H);4;NãO;81
11833.0S;CIRCUITOS ELéTRICOS II(81H);4;NãO;81
11830.0S;ELETROMAGNETISMO(54H);4;NãO;54
10781.0.27S;INTRODUçãO à ADMINISTRAçãO(27H);4;NãO;27
DPAA-4.334;ELETRôNICA DIGITAL II(54H);5;NãO;54
DPAA-4.336;CONVERSãO DE ENERGIA ELéTRICA(54H);5;NãO;54
DPAA-4.190;SISTEMAS LINEARES(54H);5;NãO;54
11840.0S;ELETRôNICA INDUSTRIAL(54H);5;NãO;54
11834.0S;MECâNICA DOS SóLIDOS(54H);5;NãO;54
DPAA-4.364;REDES DE COMPUTADORES(81H);5;NãO;81
DPAA-4.025;SISTEMAS OPERACIONAIS(54H);6;NãO;54
DPAA-4.339;DISPOSITIVOS E CIRCUITOS DE RADIOFREQUêNCIA(54H);6;NãO;54
DPAA-4.340;SISTEMAS DE RADIOENLACE(54H);6;NãO;54
10951.0.54S;PROCESSAMENTO DIGITAL DE SINAIS(54H);6;NãO;54
DPAA-2.339;ESTATíSTICA E PROBABILIDADE(54H);6;NãO;54
DPAA-4.426;MICROCONTROLADORES(27H);6;NãO;27
DPAA-4.427;TRANSFORMADORES(54H);6;NãO;54
DPAA-4.344;COMUNICAçõES MóVEIS(27H);7;NãO;27
DPAA-4.342;SISTEMAS DE COMUNICAçãO(54H);7;NãO;54
DPAA-4.119;PROCESSOS ESTOCáSTICOS(54H);7;NãO;54
10703.0.54S;FENôMENOS DE TRANSPORTE(54H);7;NãO;54
10723.0S;MáQUINAS ELéTRICAS(81H);7;NãO;81
DPAA-4.428;COMUTAçãO TELEFôNICA E MULTIPLEXAçãO(81H);7;NãO;81
DPAA-4.346;SISTEMAS DE RADIODIFUSãO(27H);8;NãO;27
DPAA-4.029;SISTEMAS INTELIGENTES(54H);8;NãO;54
DPAA-4.348;TéCNICAS DE REDUçãO DE RUíDOS(27H);8;NãO;27
DPAA-4.349;INSTALAçõES ELéTRICAS PREDIAIS(54H);8;NãO;54
DPAA-4.429;REDES DE ALTA VELOCIDADE(54H);8;NãO;54
DPAA-4.430;SUBESTAçõES(54H);8;NãO;54
DPAA-4.431;COMUNICAçõES ÓPTICAS(54H);8;NãO;54
DPAA-2.022;SEGURANçA DO TRABALHO(27H);8;NãO;27
11835.0S;SISTEMAS DE CONTROLE I(54H);9;NãO;54
DPAA-4.352;TRANSMISSãO E DISTRIBUIçãO DE ENERGIA ELéTRICA(54H);9;NãO;54
DPAA-4.362;TRABALHO DE CONCLUSãO DE CURSO I(54H);9;NãO;54
DPAA-4.197;CIêNCIAS DO AMBIENTE(27H);9;NãO;27
DPAA-4.432;INSTALAçõES INDUSTRIAIS(54H);9;NãO;54
DPAA-4.053;SOCIOLOGIA DO TRABALHO, TECNOLOGIA E CULTURA(27H);9;SIM;27
DPAA-4.355;SEGURANçA DA INFORMAçãO(54H);9;NãO;54
DPAA-4.499;INFRAESTRUTURA PARA SISTEMA IRRADIANTE(27H);9;SIM;27
DPAA-1.127;RELAçõES ÉTNICO-RACIAIS E CULTURA AFRO-BRASILEIRA E INDíGENA(27H);9;SIM;27
DPAA-4.329;TóPICOS EM SISTEMAS DE INFORMAçãO II - INTRODUçãO à PROGRAMAçãO PYTHON(27H);9;SIM;27
DPAA-4.501;TóPICOS EM SISTEMA ELéTRICOS I - QUALIDADE DE ENERGIA(27H);9;SIM;27
11847.0S;ENGENHARIA ECONôMICA(27H);9;SIM;27
DPAA-1.142;LIBRAS(27H);9;SIM;27
11845.0S;PLANEJAMENTO DE PROCESSOS INDUSTRIAIS(27H);9;SIM;27
DPAA-4.553;ADMINISTRAçãO E ORGANIZAçãO INDUSTRIAL(27H);9;SIM;2
DPAA-4.037;GESTãO DA MANUTENçãO(27H);9;SIM;27
DPAA-4.519;PROJETOS DE MáQUINAS E SISTEMAS MECâNICOS(27H);9;SIM;27
11841.0S;INSTRUMENTAçãO INDUSTRIAL I(54H);9;SIM;54
DPAA-4.161;INSTRUMENTAçãO INDUSTRIAL II(54H);9;SIM;54
DPAA-4.332;ACIONAMENTOS ELéTRICOS(54H);9;SIM;54
11842.0S;ACIONAMENTOS HIDRáULICOS E PNEUMáTICOS(54H);9;SIM;54
11836.0S;SISTEMAS DE CONTROLE II(54H);10;NãO;54
DPAA-4.354;PROJETOS DE REDES LóGICAS(27H);10;NãO;27
DPAA-4.356;LEGISLAçãO E ÉTICA(27H);10;NãO;27
DPAA-4.357;TRABALHO DE CONCLUSãO DE CURSO II(54H);10;NãO;54
DPAA-4.350;ANáLISE DE DESEMPENHO DE REDES(27H);10;NãO;27
DPAA-4.433;REDES INDUSTRIAIS(54H);10;NãO;54
DPAA-4.435;ANáLISE DE SISTEMAS ELéTRICOS(54H);10;NãO;54
DPAA-4.502;INTELIGêNCIA EM REDE ELéTRICA(54H);10;SIM;54
DPAA-4.503;TóPICOS EM SISTEMA ELéTRICOS II - ATERRAMENTO ELéTRICO(54H);10;SIM;54
DPAA-1.346;INGLêS INSTRUMENTAL(54H);10;SIM;54
DPAA-1.091;LíNGUA ESTRANGEIRA - ESPANHOL(54H);10;SIM;54
DPAA-2.220;TOPOGRAFIA I(54H);10;SIM;54
DPAA-2.224;TOPOGRAFIA II(54H);10;SIM;54
DPAA-4.158;EMPREENDEDORISMO E PLANEJAMENTO PROFISSIONAL(54H);10;SIM;54
DPAA-4.311;INTRODUçãO à ROBóTICA(54H);10;SIM;54
DPAA-4.183;PLANEJAMENTO E CONTROLE DA PRODUçãO(54H);10;SIM;54
DPAA-4.517;REFRIGERAçãO E AR CONDICIONADO(54H);10;SIM;54
DPAA-4.528;MéTODOS DOS ELEMENTOS FINITOS(54H);10;SIM;54
DPAA-4.409;INTELIGêNCIA EM NEGóCIOS(54H);10;SIM;54
DPAA-4.410;GOVERNANçA EM TECNOLOGIA DA INFORMAçãO(54H);10;SIM;54
DPAA-4.453;TóPICOS ESPECIAIS EM BANCO DE DADOS(54H);10;SIM;54
DPAA-4.455;TóPICOS ESPECIAIS EM TECNOLOGIAS WEB(54H);10;SIM;54
DPAA-4.456;TóPICOS ESPECIAIS EM PROGRAMAçãO PARA DISPOSITIVOS MóVEIS(54H);10;SIM;54
